,time_in_sec,Acceleration_vertical_axis(in G),Acceleration_lateral_axis(in G),id_of_antenna_reading,signal_strength_indicator(RSSI),Phase,Frequency,target
9841,211.5,0.91636,0.077541,1,-57.5,0.092039,924.25,1
9842,212.25,1.0197,0.031928,1,-56.5,5.2677,925.25,1
9843,212.5,1.0197,0.031928,3,-66.5,4.9164,923.75,1
9844,212.75,1.0197,0.031928,1,-56.5,4.6878,921.75,1
9845,213.0,1.0197,0.031928,1,-58.0,0.4065,922.75,1
9846,213.25,1.0197,0.031928,1,-56.5,1.7012,921.25,1
9847,213.5,0.98526,0.11175,3,-67.5,0.17334000000000002,920.25,1
9848,214.0,0.98526,0.11175,1,-57.5,5.4963,924.25,1
9849,214.25,0.98526,0.11175,4,-57.0,1.0953,920.75,1
9850,214.5,0.98526,0.11175,1,-58.0,6.1651,923.25,1
9851,214.75,0.98526,0.11175,4,-57.0,5.7033,922.25,1
9852,215.0,0.98526,0.11175,1,-58.5,5.7478,923.75,1
9853,216.25,0.98526,0.10035,3,-69.5,5.9841,924.75,1
9854,216.75,0.98526,0.10035,4,-57.0,1.0416,920.75,1
9855,216.88,0.98526,0.10035,1,-58.0,6.1083,923.25,1
9856,217.0,0.98526,0.10035,1,-57.5,0.70563,922.25,1
9857,217.75,0.98526,0.066138,1,-57.0,1.083,921.75,1
9858,218.0,0.98526,0.066138,3,-68.0,0.94647,922.75,1
9859,218.5,0.98526,0.066138,1,-57.0,5.3306,920.25,1
9860,218.75,0.98526,0.066138,1,-58.5,4.8274,924.75,1
9861,219.25,1.0082,0.066138,1,-57.5,5.9933,923.25,1
9862,219.5,1.0082,0.066138,3,-65.0,4.559,922.25,1
9863,219.75,1.0082,0.066138,4,-58.0,0.7992,923.75,1
9864,220.0,1.0082,0.066138,4,-57.5,6.1144,921.75,1
9865,220.25,1.0082,0.066138,1,-58.0,0.061359,925.75,1
9866,220.5,1.0082,0.066138,4,-59.0,4.7737,922.75,1
9867,220.75,1.0082,0.066138,4,-59.0,0.03068,921.25,1
9868,221.25,0.96229,0.10035,3,-62.0,0.97715,924.25,1
9869,221.5,0.96229,0.10035,4,-59.5,0.72097,920.75,1
9870,221.75,0.96229,0.10035,4,-60.0,4.3504,923.25,1
9871,222.25,0.97377,0.08894400000000001,3,-62.5,4.7063,923.75,1
9872,222.75,0.97377,0.08894400000000001,1,-58.5,0.2347,925.75,1
9873,223.0,0.97377,0.08894400000000001,1,-56.5,0.8575,921.25,1
9874,223.75,1.0197,0.11175,1,-58.5,1.2671,924.25,1
9875,224.0,1.0197,0.11175,1,-57.0,0.8452200000000001,920.75,1
9876,224.25,1.0197,0.11175,4,-60.0,3.9837,923.25,1
9877,224.75,1.0197,0.11175,4,-59.0,5.6512,921.75,1
9878,225.25,1.0197,0.11175,4,-57.5,4.7339,922.75,1
9879,225.75,0.97377,0.066138,3,-63.5,5.8951,920.25,1
9880,226.25,0.97377,0.066138,1,-58.5,4.4301,924.25,1
9881,226.5,0.97377,0.066138,4,-56.5,0.59672,920.75,1
9882,226.6,0.97377,0.066138,3,-62.5,4.0451,923.25,1
9883,227.5,0.90487,0.14595999999999998,1,-57.0,0.20862,925.75,1
9884,227.75,0.90487,0.14595999999999998,4,-57.0,0.91272,922.75,1
9885,228.0,0.90487,0.14595999999999998,1,-55.0,1.0293,921.25,1
9886,228.25,0.8819100000000001,0.19157,4,-58.5,4.9778,924.75,1
9887,228.75,0.8819100000000001,0.19157,1,-56.5,1.3422,924.25,1
9888,228.85,0.8819100000000001,0.19157,1,-56.0,1.1582,920.75,1
9889,229.0,0.8819100000000001,0.19157,1,-56.5,5.349,923.25,1
9890,229.25,0.96229,0.11175,4,-60.0,4.8735,925.25,1
9891,229.75,0.96229,0.11175,1,-57.5,4.8244,923.75,1
9892,229.85,0.96229,0.11175,3,-62.5,5.0023,921.75,1
9893,230.25,0.96229,0.11175,3,-62.5,4.513,922.75,1
9894,230.5,0.96229,0.11175,3,-62.5,5.3229,921.25,1
9895,230.75,0.96229,0.11175,1,-57.0,4.8075,920.25,1
9896,231.25,0.97377,0.13456,1,-57.0,4.4777,920.75,1
9897,231.5,0.97377,0.13456,1,-58.0,5.461,923.25,1
9898,231.6,0.97377,0.13456,1,-58.0,0.03068,922.25,1
9899,232.0,0.97377,0.13456,1,-58.0,5.1097,923.75,1
9900,232.25,0.97377,0.13456,1,-57.5,0.34208,921.75,1
9901,232.5,0.97377,0.13456,1,-58.0,5.8399,922.75,1
9902,232.75,0.97377,0.13456,4,-58.0,5.9979,921.25,1
9903,233.5,0.97377,0.12315,1,-58.5,4.9808,924.25,1
9904,233.75,0.97377,0.12315,1,-57.0,1.4404,920.75,1
9905,234.0,0.97377,0.12315,1,-58.0,5.5822,923.25,1
9906,234.1,0.97377,0.12315,1,-58.0,0.033748,922.25,1
9907,234.5,0.97377,0.12315,4,-58.0,5.5423,921.75,1
9908,235.0,0.97377,0.12315,4,-59.0,4.5007,922.75,1
9909,235.25,0.97377,0.12315,3,-64.5,4.6955,921.25,1
9910,235.75,0.97377,0.12315,1,-59.5,4.7814,924.25,1
9911,236.25,0.97377,0.12315,3,-64.0,5.3183,920.75,1
9912,237.0,0.93932,0.11175,1,-58.5,0.32674000000000003,921.75,1
9913,237.5,0.93932,0.11175,3,-64.5,0.6412,922.75,1
9914,238.0,0.93932,0.11175,1,-58.0,1.4680000000000002,920.25,1
9915,238.5,0.93932,0.11175,4,-58.5,0.3114,920.75,1
9916,238.75,0.93932,0.11175,1,-58.5,5.5423,923.25,1
9917,239.0,0.93932,0.11175,1,-58.5,6.2433,922.25,1
9918,240.0,0.92784,0.12315,3,-64.0,1.5923,921.25,1
9919,240.5,0.92784,0.12315,1,-58.0,1.4435,920.25,1
9920,241.0,0.92784,0.12315,3,-64.0,5.0667,920.75,1
9921,241.25,0.92784,0.12315,1,-58.5,0.018408,922.25,1
9922,241.75,0.92784,0.12315,1,-59.0,4.0221,925.25,1
9923,241.85,0.92784,0.12315,3,-61.5,0.9434,923.75,1
9924,242.0,0.92784,0.12315,4,-58.0,5.0422,921.75,1
9925,242.5,0.98526,0.066138,4,-57.5,5.4625,921.25,1
9926,242.75,0.98526,0.066138,1,-56.5,4.4378,920.25,1
9927,243.0,0.98526,0.066138,1,-58.5,0.80381,924.75,1
9928,243.25,0.98526,0.066138,4,-60.0,5.7908,924.25,1
9929,243.53,0.98526,0.066138,3,-62.5,5.803,920.75,1
9930,244.0,0.8819100000000001,0.18017,4,-60.5,2.0571,925.25,1
9931,244.25,0.8819100000000001,0.18017,1,-57.0,0.47553,921.75,1
9932,244.5,0.8819100000000001,0.18017,4,-61.5,1.6782,925.75,1
9933,245.0,0.8819100000000001,0.18017,1,-58.0,4.2046,921.25,1
9934,245.25,0.8819100000000001,0.18017,4,-57.0,1.172,920.25,1
9935,245.5,0.8819100000000001,0.18017,1,-60.0,4.3949,924.75,1
9936,245.75,0.8819100000000001,0.18017,3,-65.5,4.9946,920.75,1
9937,246.5,0.98526,0.043332,3,-62.5,1.1106,923.75,1
9938,246.75,0.98526,0.043332,1,-56.5,0.041417,921.75,1
9939,247.0,0.98526,0.043332,1,-58.5,6.119,925.75,1
9940,247.5,1.0197,0.031928,3,-62.5,6.0454,920.25,1
9941,248.0,1.0197,0.031928,1,-58.0,3.7782,924.75,1
9942,248.25,1.0197,0.031928,1,-57.5,1.0723,924.25,1
9943,248.35,1.0197,0.031928,3,-62.5,5.4855,920.75,1
9944,249.0,0.93932,0.21438,3,-64.0,0.001534,923.75,1
9945,249.5,0.93932,0.21438,1,-59.0,5.3260000000000005,922.75,1
9946,249.75,0.93932,0.21438,4,-57.5,5.8629,921.25,1
9947,250.0,0.93932,0.21438,3,-62.0,5.5116,920.25,1
9948,250.5,0.93932,0.21438,3,-63.0,0.17794,924.25,1
9949,250.75,0.93932,0.21438,4,-57.5,6.2556,920.75,1
9950,251.25,0.96229,0.12315,1,-58.5,5.8046,922.25,1
9951,251.5,0.96229,0.12315,1,-59.0,1.4834,923.75,1
9952,251.75,0.96229,0.12315,4,-57.5,5.4334,921.75,1
9953,252.25,0.96229,0.12315,1,-58.0,5.167999999999998,922.75,1
9954,252.5,0.96229,0.12315,1,-59.0,6.1467,921.25,1
9955,253.0,0.92784,0.16876,4,-57.5,5.7217,924.25,1
9956,253.13,0.92784,0.16876,1,-58.0,0.62126,920.75,1
9957,253.25,0.92784,0.16876,1,-58.0,5.1695,923.25,1
9958,253.75,0.90487,0.317,3,-63.5,0.90812,925.25,1
9959,254.0,0.90487,0.317,1,-58.5,0.27458,921.75,1
9960,255.25,0.91636,0.32841,1,-62.5,4.5099,924.75,1
9961,256.25,0.8819100000000001,0.36262,4,-58.0,5.9979,925.25,1
9962,256.5,0.8819100000000001,0.36262,1,-59.5,0.36969,921.75,1
9963,257.25,0.93932,0.32841,4,-56.0,0.7133,921.25,1
9964,257.5,0.93932,0.32841,3,-65.5,0.70103,920.25,1
9965,257.75,0.93932,0.32841,1,-58.5,5.7494,924.25,1
9966,258.0,0.93932,0.32841,1,-57.5,2.2457,920.75,1
9967,258.25,0.93932,0.32841,4,-56.5,4.8351,923.25,1
9968,258.5,0.99674,0.13456,4,-59.0,5.6926,925.25,1
9969,258.75,0.99674,0.13456,1,-56.5,5.6865,923.75,1
9970,259.0,0.99674,0.13456,1,-55.5,4.5973,921.75,1
9971,259.25,0.99674,0.13456,1,-57.0,1.5815,925.75,1
9972,259.75,0.8819100000000001,0.12315,1,-57.0,5.8966,920.25,1
9973,260.0,0.8819100000000001,0.12315,1,-58.0,4.9962,924.75,1
9974,260.25,0.8819100000000001,0.12315,1,-57.5,1.6797,920.75,1
9975,260.5,0.8819100000000001,0.12315,1,-58.5,5.8767,923.25,1
9976,261.25,0.8819100000000001,0.12315,1,-59.5,5.5469,923.75,1
9977,261.53,0.8819100000000001,0.12315,1,-61.5,4.065,925.75,1
9978,262.0,0.8819100000000001,0.12315,1,-58.0,1.5217,921.25,1
9979,262.25,0.8819100000000001,0.12315,3,-68.0,6.0439,920.25,1
9980,263.0,0.99674,0.12315,3,-65.5,4.3903,923.25,1
9981,263.5,0.99674,0.12315,4,-59.5,3.8442,923.75,1
9982,264.0,0.99674,0.12315,1,-58.0,0.92346,921.75,1
9983,264.25,0.99674,0.12315,1,-59.0,6.0562,922.75,1
9984,264.75,0.99674,0.12315,1,-58.0,1.6904,920.25,1
9985,265.0,0.99674,0.12315,1,-60.0,4.5943,924.25,1
9986,265.75,0.97377,0.14595999999999998,1,-58.0,0.3927,922.25,1
9987,266.0,0.97377,0.14595999999999998,4,-59.5,5.8997,925.25,1
9988,266.25,0.97377,0.14595999999999998,1,-57.0,5.5392,923.75,1
9989,266.32,0.97377,0.14595999999999998,3,-59.0,1.8546,921.75,1
9990,266.5,0.97377,0.14595999999999998,3,-60.5,0.99095,922.75,1
9991,266.75,0.97377,0.14595999999999998,4,-56.5,0.77313,921.25,1
9992,267.25,0.96229,0.11175,3,-63.0,5.6987,924.75,1
9993,267.5,0.96229,0.11175,3,-63.5,5.9626,924.25,1
9994,268.0,0.89339,0.12315,4,-57.0,4.6019,923.25,1
9995,269.5,0.96229,0.066138,4,-57.0,1.8669,920.25,1
9996,270.0,0.89339,0.15736,3,-65.0,5.53,924.25,1
9997,270.25,0.89339,0.15736,4,-57.0,4.6725,923.25,1
9998,270.75,0.95081,0.10035,3,-65.0,4.6986,925.25,1
9999,271.0,0.95081,0.10035,4,-57.0,0.029146,921.75,1
10000,271.5,0.96229,0.10035,3,-66.0,0.40497,922.75,1
10001,271.75,0.96229,0.10035,4,-56.5,0.9434,921.25,1
10002,272.0,0.96229,0.10035,4,-56.5,2.0448,920.25,1
10003,272.5,0.99674,0.08894400000000001,3,-63.5,5.4073,924.25,1
10004,272.6,0.99674,0.08894400000000001,1,-56.5,5.7954,920.75,1
10005,272.75,0.99674,0.08894400000000001,1,-57.0,0.5507,923.25,1
10006,273.0,0.99674,0.08894400000000001,1,-56.5,1.5064,922.25,1
10007,273.25,0.99674,0.08894400000000001,1,-58.0,5.0391,925.25,1
10008,274.0,0.95081,0.16876,4,-57.5,5.1174,922.75,1
10009,274.25,0.95081,0.16876,1,-57.5,1.2793,921.25,1
10010,274.35,0.95081,0.16876,4,-57.5,4.6019,920.25,1
10011,274.75,0.95081,0.16876,1,-58.5,4.9287,924.75,1
10012,275.0,0.95081,0.16876,1,-57.5,1.9251,920.75,1
10013,275.25,0.95081,0.16876,1,-58.0,6.0362,923.25,1
10014,275.5,0.95081,0.16876,3,-66.0,5.0008,922.25,1
10015,276.5,0.92784,0.15736,3,-67.5,1.2134,922.75,1
10016,276.75,0.92784,0.15736,1,-58.0,5.2324,920.25,1
10017,277.25,0.92784,0.15736,1,-59.0,5.1542,924.25,1
10018,277.5,0.92784,0.15736,1,-58.5,5.9718,923.25,1
10019,277.75,0.92784,0.15736,1,-58.5,0.52769,922.25,1
10020,280.0,0.81301,-0.10491,1,-48.5,6.185,923.25,4
10021,280.25,0.97377,0.14595999999999998,1,-47.5,5.1281,923.25,4
10026,280.85,1.2264,0.08894400000000001,2,-59.5,4.4117,923.75,4
10027,281.0,1.2264,0.08894400000000001,1,-59.0,0.67188,921.75,4
10028,282.5,1.0656,0.12315,2,-57.0,4.0344,923.25,4
10029,283.25,1.0656,0.12315,2,-59.0,4.9992,921.75,4
10030,287.0,1.0427,0.031928,2,-56.5,1.3376,924.75,2
10031,287.25,1.0427,0.020525,2,-54.5,4.9394,923.25,2
10032,290.25,1.0427,0.043332,2,-57.5,1.1858,925.25,2
10033,295.75,0.91636,0.20297,2,-57.0,0.67035,925.75,2
10034,303.0,1.0542,0.031928,2,-56.5,0.5875100000000001,925.75,2
10035,304.5,0.93932,0.16876,2,-54.0,4.8888,923.25,2
10036,307.25,0.96229,0.13456,2,-56.5,0.7761899999999999,925.25,2
10037,320.0,0.8589399999999999,0.27139,2,-51.5,5.4334,921.75,2
10038,322.75,0.8704200000000001,0.21438,2,-52.0,5.9334,921.25,2
10039,326.75,0.89339,0.22578,2,-56.5,1.4312,925.25,2
10040,329.75,0.98526,0.12315,2,-58.0,1.0385,925.75,2
10041,330.75,0.92784,0.20297,2,-56.0,1.8377,924.25,2
10042,332.25,0.98526,0.10035,2,-57.0,1.3039,925.75,2
10043,333.5,0.92784,0.18017,2,-57.0,0.087437,920.75,2
10044,333.75,0.92784,0.18017,2,-56.0,5.6911,922.25,2
10045,334.25,0.92784,0.18017,2,-57.0,4.6418,925.25,2
10046,341.0,0.91636,0.066138,2,-56.0,4.8627,923.25,2
10047,342.0,0.91636,0.13456,2,-58.0,0.8651700000000001,925.75,2
10048,342.5,0.91636,0.13456,2,-57.0,0.029146,920.25,2
10049,347.5,1.0197,0.054735,2,-53.0,5.1757,924.75,2
10050,351.75,1.0427,-0.013684,2,-56.5,1.1551,925.75,2
10051,354.25,1.0197,0.031928,2,-56.5,1.1858,925.75,2
10052,367.25,0.95081,0.19157,2,-55.0,1.445,924.25,2
10053,371.25,0.98526,0.11175,2,-57.5,0.74398,925.75,2
10054,373.0,0.96229,0.13456,2,-57.5,1.2103,925.25,2
10055,373.5,0.96229,0.13456,2,-57.0,5.8751,921.75,2
10056,374.5,0.95081,0.12315,2,-57.5,4.6326,924.75,2
10057,375.0,0.95081,0.12315,2,-56.5,0.11965,920.75,2
10058,375.25,0.95081,0.12315,2,-57.0,5.599,922.25,2
10059,377.25,0.66373,0.13456,2,-48.5,4.0037,920.75,4
10060,377.5,0.95081,0.077541,2,-49.0,2.8885,923.25,4
10061,377.6,0.95081,0.077541,2,-49.0,6.0669,923.25,4
10062,377.75,1.0082,-0.013684,2,-48.5,3.7122,922.25,4
10063,377.85,1.0197,-0.013684,2,-48.0,3.9822,922.25,4
10064,378.0,1.0197,-0.025087,2,-48.0,0.7225,923.75,4
10065,378.25,1.0082,0.0091224,2,-48.0,4.0681,923.75,4
10066,378.4,1.0082,0.0091224,2,-48.0,4.1126,923.75,4
10068,378.53,1.0312,0.0091224,2,-50.0,0.2255,925.75,4
10069,378.75,1.0197,0.0091224,2,-47.5,4.5866,922.75,4
10071,378.9,1.0197,0.0091224,2,-47.5,4.5759,922.75,4
10072,378.93,1.0427,0.020525,2,-47.5,5.2585,921.25,4
10073,379.0,1.0197,-0.0022806,2,-47.5,5.2431,921.25,4
10074,379.05,1.0197,-0.0022806,2,-47.5,5.26,921.25,4
10075,379.25,0.8819100000000001,0.11175,2,-48.0,6.1973,920.25,4
10076,379.33,0.8819100000000001,0.11175,2,-48.0,0.067495,920.25,4
10077,379.35,0.8359700000000001,0.16876,2,-48.0,5.6052,924.75,4
10078,379.4,0.8359700000000001,0.16876,2,-48.0,5.7708,924.75,4
10079,379.5,0.8359700000000001,0.16876,2,-48.0,6.1651,924.75,4
10080,379.6,1.0312,0.054735,2,-48.0,0.81915,924.25,4
10081,379.65,0.95081,0.14595999999999998,2,-48.5,1.3622,924.25,4
10086,380.25,1.0312,0.043332,2,-49.0,1.0707,922.25,4
10087,380.35,0.95081,-0.10491,2,-52.0,1.1152,925.25,4
10088,383.75,1.1001,-0.11631,1,-57.0,4.7661,922.75,4
10089,384.25,1.1001,-0.11631,4,-65.5,1.2118,924.25,4
10090,385.0,1.1001,-0.11631,1,-58.0,0.52769,922.25,1
10091,385.25,1.1001,-0.11631,4,-58.0,4.4393,925.25,1
10092,385.5,1.1001,-0.11631,1,-58.5,4.4915,921.75,1
10093,386.25,1.1001,-0.11631,1,-61.5,5.7785,921.25,1
10094,387.0,0.6522399999999999,0.43103,1,-62.0,5.125,920.75,1
10098,388.75,0.19292,0.0091224,3,-50.0,5.8598,921.25,3
10099,388.88,0.19292,0.0091224,3,-49.5,6.2632,920.25,3
10100,389.0,-0.048229,0.054735,3,-49.5,6.1037,920.25,3
10101,389.1,-0.082679,0.13456,4,-61.5,6.0393,924.75,3
10102,389.25,-0.082679,0.13456,3,-50.5,0.22703,924.25,3
10103,389.33,-0.082679,0.13456,4,-62.5,0.158,924.25,3
10104,389.75,-0.15158,-0.0022806,4,-61.0,4.3949,923.25,3
10105,390.25,-0.14009000000000002,0.08894400000000001,4,-62.0,3.7966,923.75,3
10106,390.5,-0.14009000000000002,0.08894400000000001,3,-49.5,4.7538,921.75,3
10107,391.0,0.1355,0.11175,4,-61.5,4.8658,922.75,3
10108,391.13,0.1355,0.11175,3,-49.5,5.2708,921.25,3
10109,391.25,0.1355,0.11175,4,-61.5,6.0239,921.25,3
10110,391.5,-0.17454,-0.03649,4,-62.0,1.0109,920.25,3
10111,392.0,-0.07119600000000001,-0.047893,3,-49.5,5.5699,920.75,3
10112,392.25,-0.10565,0.020525,3,-51.0,0.7946,923.25,3
10113,392.5,-0.14009000000000002,0.0091224,4,-63.5,5.2708,925.25,3
10114,393.0,-0.059712,-0.059296,3,-49.5,4.7109,921.75,3
10115,393.25,-0.07119600000000001,-0.025087,3,-50.5,4.0957,922.75,3
10116,393.5,-0.082679,-0.013684,4,-62.0,5.8966,921.25,3
10117,393.75,-0.082679,-0.013684,3,-49.0,5.6711,920.25,3
10118,394.0,-0.07119600000000001,-0.070699,4,-63.5,5.6972,924.75,3
10119,394.25,-0.048229,-0.059296,3,-49.5,5.3505,920.75,3
10120,394.35,-0.048229,-0.059296,4,-62.0,0.11812,920.75,3
10121,394.75,-0.048229,-0.047893,4,-62.0,4.0006,923.25,3
10122,394.85,-0.048229,-0.047893,4,-62.0,4.9118,922.25,3
10123,395.25,-0.11713,0.031928,4,-62.5,0.36969,923.75,3
10124,395.75,-0.048229,-0.059296,4,-63.0,1.7012,925.75,3
10125,396.0,-0.059712,-0.013684,4,-62.0,5.9426,921.25,3
10126,396.25,-0.059712,-0.013684,3,-49.5,5.6865,920.25,3
10127,396.35,-0.036746,-0.047893,4,-63.0,5.6205,924.75,3
10128,396.5,-0.036746,-0.047893,4,-62.5,6.0884,924.25,3
10129,397.0,-0.025263,-0.03649,4,-62.5,3.8549,923.25,3
10130,397.25,-0.036746,-0.03649,3,-50.0,4.47,922.25,3
10131,397.4,-0.036746,-0.03649,3,-50.0,4.4624,922.25,3
10132,397.75,-0.025263,-0.03649,4,-62.5,0.23777,923.75,3
10133,397.85,-0.025263,-0.03649,3,-49.5,4.8934,921.75,3
10134,398.5,-0.036746,-0.047893,4,-61.5,5.7586,921.25,3
10135,398.6,-0.036746,-0.047893,4,-62.0,0.5415,920.25,3
10136,398.75,-0.036746,-0.047893,4,-63.5,5.5622,924.75,3
10137,399.25,-0.036746,-0.03649,4,-62.0,0.052154999999999986,920.75,3
10138,399.35,-0.036746,-0.03649,4,-62.0,0.049087,920.75,3
10139,399.75,-0.036746,-0.047893,4,-61.5,4.8428,922.25,3
10140,400.0,-0.036746,-0.047893,4,-63.5,2.0264,925.25,3
10141,400.25,-0.036746,-0.03649,4,-61.5,5.3444,921.75,3
10142,400.5,-0.036746,-0.03649,3,-50.5,4.1678,922.75,3
10143,400.75,-0.11713,0.031928,3,-49.5,5.0744,921.25,3
10144,401.25,-0.036746,-0.025087,4,-63.5,5.5622,924.75,3
10145,401.75,-0.036746,-0.047893,3,-51.0,0.8252799999999999,923.25,3
10146,401.85,-0.036746,-0.047893,4,-62.5,0.69796,923.25,3
10147,402.0,-0.036746,-0.047893,3,-50.0,4.5789,922.25,3
10148,402.25,-0.12861,0.077541,4,-64.5,1.9037,925.25,3
10149,402.5,-0.12861,0.077541,4,-63.5,0.14113,923.75,3
10150,402.75,-0.12861,0.077541,4,-62.0,5.2217,921.75,3
10151,403.0,-0.036746,-0.025087,3,-50.5,4.2982,922.75,3
10152,403.25,-0.036746,-0.025087,4,-62.0,4.2921,922.75,3
10153,403.5,-0.048229,-0.03649,3,-49.5,5.8889999999999985,920.25,3
10154,403.6,-0.20899,0.10035,3,-49.5,5.8797,920.25,3
10155,403.75,-0.20899,0.10035,4,-64.0,5.5484,924.75,3
10156,404.0,-0.20899,0.10035,4,-63.5,6.0101,924.25,3
10157,404.5,-0.036746,-0.047893,4,-63.0,0.7025600000000001,923.25,3
10158,404.6,-0.036746,-0.047893,4,-62.0,4.8014,922.25,3
10159,405.0,-0.036746,-0.03649,4,-63.0,0.23317,923.75,3
10160,405.25,-0.036746,-0.03649,3,-50.0,4.8443,921.75,3
10161,405.5,-0.036746,-0.082102,3,-50.5,4.2292,922.75,3
10162,405.75,-0.036746,-0.082102,4,-62.5,5.7494,921.25,3
10163,407.0,-0.036746,-0.059296,3,-50.5,4.5452,922.25,3
10164,407.1,-0.036746,-0.059296,4,-61.5,4.7737,922.25,3
10165,407.25,-0.036746,-0.059296,4,-64.0,5.0836,925.25,3
10166,408.0,-0.16305999999999998,0.10035,3,-49.5,5.2554,921.25,3
10167,408.5,-0.025263,-0.025087,3,-49.5,5.9196,920.25,3
10168,408.6,-0.025263,-0.025087,3,-53.0,0.026078,924.75,3
10169,409.0,-0.025263,-0.070699,4,-62.0,6.2004,920.75,3
10170,409.5,-0.059712,-0.03649,3,-50.0,4.5452,922.25,3
10171,409.75,-0.048229,-0.013684,3,-51.5,0.46633,923.75,3
10172,410.25,-0.036746,-0.013684,4,-65.5,4.7415,925.75,3
10173,410.5,-0.036746,-0.013684,4,-63.5,4.3151,922.75,3
10174,410.75,-0.15158,0.08894400000000001,3,-49.0,5.7233,920.25,3
10175,411.0,-0.15158,0.077541,4,-65.0,5.5653,924.75,3
10176,411.5,-0.22048,0.13456,3,-49.0,5.372000000000001,920.75,3
10177,411.63,-0.22048,0.13456,3,-49.0,5.3797,920.75,3
10178,411.68,-0.22048,0.13456,4,-63.5,6.254,920.75,3
10179,412.0,-0.15158,0.043332,4,-65.0,5.1772,925.25,3
10180,412.5,-0.048229,-0.03649,4,-63.5,5.2784,921.75,3
10181,412.75,-0.048229,-0.03649,4,-63.5,4.3703,922.75,3
10182,413.0,-0.048229,-0.03649,3,-49.5,5.0468,921.25,3
10183,413.25,-0.10565,0.031928,4,-63.5,0.51695,920.25,3
10184,414.0,-0.048229,0.0091224,4,-63.5,0.03068,920.75,3
10185,414.5,-0.07119600000000001,0.043332,3,-51.5,0.41417,923.75,3
10186,414.75,-0.01378,-0.025087,3,-49.5,4.7968,921.75,3
10187,414.85,-0.01378,-0.025087,4,-62.5,5.2508,921.75,3
10188,415.25,-0.036746,-0.013684,4,-63.5,1.1735,922.75,3
10189,415.5,-0.036746,-0.013684,4,-63.0,5.7693,921.25,3
10190,415.75,-0.036746,-0.047893,3,-49.5,5.7509,920.25,3
10191,416.25,-0.17454,0.10035,3,-49.5,5.3766,920.75,3
10192,416.5,-0.17454,0.08894400000000001,4,-63.5,0.79767,923.25,3
10193,416.75,-0.036746,-0.03649,4,-63.0,4.852,922.25,3
10194,417.0,-0.036746,-0.03649,4,-64.5,0.32214,923.75,3
10195,417.25,-0.18603,0.08894400000000001,3,-50.0,4.7538,921.75,3
10196,417.5,-0.18603,0.08894400000000001,4,-65.0,4.9072,925.75,3
10197,417.75,-0.18603,0.08894400000000001,3,-50.5,4.1034,922.75,3
10198,418.0,-0.082679,0.0091224,4,-63.5,5.9074,921.25,3
10199,418.25,-0.082679,0.0091224,3,-50.0,5.6803,920.25,3
10200,418.5,-0.059712,0.043332,4,-64.5,6.0761,924.25,3
10201,418.75,-0.059712,0.043332,4,-63.0,0.084369,920.75,3
10202,419.0,-0.059712,0.043332,3,-51.0,0.6366,923.25,3
10203,419.1,-0.036746,-0.03649,4,-63.0,4.9471,922.25,3
10204,419.25,-0.036746,-0.03649,4,-64.0,5.2186,925.25,3
10205,419.75,-0.17454,0.10035,3,-49.5,4.6802,921.75,3
10206,419.85,-0.17454,0.10035,4,-63.0,2.2856,921.75,3
10207,420.5,-0.10565,0.043332,3,-49.5,5.0207,921.25,3
10208,420.6,-0.17454,0.11175,3,-49.5,5.6497,920.25,3
10209,421.25,-0.24344,0.15736,3,-49.5,5.3260000000000005,920.75,3
10210,421.5,-0.048229,-0.0022806,3,-51.0,0.66115,923.25,3
10211,421.6,-0.048229,-0.0022806,4,-63.5,0.81148,923.25,3
10212,421.75,-0.048229,-0.0022806,3,-50.5,4.3872,922.25,3
10213,422.0,-0.12861,0.043332,4,-64.5,0.28839000000000004,923.75,3
10214,422.25,-0.16305999999999998,0.08894400000000001,4,-65.0,1.7242,925.75,3
10215,422.5,-0.16305999999999998,0.08894400000000001,4,-63.5,1.2441,922.75,3
10216,422.75,-0.16305999999999998,0.08894400000000001,4,-63.0,5.7647,921.25,3
10217,423.0,-0.16305999999999998,0.08894400000000001,3,-49.5,5.6803,920.25,3
10218,423.1,-0.025263,-0.047893,3,-49.0,5.6957,920.25,3
10219,423.15,-0.025263,-0.047893,4,-63.5,3.6984,920.25,3
10220,423.5,-0.17454,0.10035,3,-49.5,5.3444,920.75,3
10221,423.75,-0.15158,0.077541,3,-51.0,0.66115,923.25,3
10222,424.0,-0.036746,-0.059296,3,-50.5,4.4271,922.25,3
10223,424.13,-0.036746,-0.059296,3,-50.5,4.4225,922.25,3
10224,424.18,-0.036746,-0.059296,4,-62.5,5.0422,922.25,3
10225,424.75,-0.025263,0.0091224,4,-62.5,5.349,921.75,3
10226,425.0,-0.025263,0.0091224,4,-63.0,4.4531,922.75,3
10227,425.25,-0.025263,0.0091224,4,-63.0,5.8184,921.25,3
10228,425.5,-0.036746,-0.047893,3,-49.5,5.6635,920.25,3
10229,425.75,-0.036746,-0.025087,4,-64.5,5.6527,924.75,3
10230,426.0,-0.17454,0.14595999999999998,3,-49.5,5.3827,920.75,3
10231,426.25,-0.16305999999999998,0.08894400000000001,4,-63.5,3.8948,923.25,3
10232,426.5,-0.16305999999999998,0.08894400000000001,3,-50.5,4.4209,922.25,3
10233,427.0,-0.19751,0.15736,3,-49.5,4.7431,921.75,3
